Hotel_Name,Hotel_Address,Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,lat,lng
Hotel Champs Elys es Friedland by Happyculture,177 rue du faubourg Saint Honor 8th arr 75008 Paris France,59,8.7,830,424,2280,48.8750848,2.3048372
Malmaison London,18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,431,8.7,12295,1374,13731,51.520943,-0.1004581
The Park City Grand Plaza Kensington Hotel,18 30 Lexham Gardens Kensington and Chelsea London W8 5JE United Kingdom,137,8.3,4367,667,4548,51.4954976,-0.1893691
Park Plaza London Riverbank,18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,1195,8.3,52454,4684,33584,51.4913737,-0.1214194
Pullman Paris Tour Eiffel,18 Avenue De Suffren Entr e au 22 rue Jean Rey 15th arr 75015 Paris France,428,8.6,19822,2764,14821,48.8555664,2.2926243
Danubius Hotel Regents Park,18 Lodge Road Near Baker Street And Marylebone Westminster Borough London NW8 7JT United Kingdom,362,8.1,9941,1294,8558,51.529257,-0.168358
Hotel Bachaumont,18 rue Bachaumont 2nd arr 75002 Paris France,88,8.8,1994,625,2940,48.8663208,2.3450399
Franklin Roosevelt,18 rue Clement Marrot 8th arr 75008 Paris France,70,8.6,1298,402,1482,48.8678432,2.3033075
H tel Horset Op ra Best Western Premier Collection,18 Rue d Antin 2nd arr 75002 Paris France,110,8.5,2236,941,3570,48.8691686,2.3337818
Best Western Paris Gare Saint Lazare,18 rue de Constantinople 8th arr 75008 Paris France,41,7.6,2169,759,1178,48.8803752,2.319591
Splendide Royal Paris,18 Rue du Cirque 8th arr 75008 Paris France,7,9.4,194,59,464,48.8709627,2.3154141
The Rockwell,181 Cromwell Road Kensington and Chelsea London SW5 0SF United Kingdom,275,8.6,10685,1470,11886,51.4948059,-0.1926525
The LaLit London,181 Tooley Street Southwark London SE1 2JR United Kingdom,46,9.3,1259,136,1607,51.5032524,-0.078179
Mercure Paris Alesia,185 Boulevard Brune 14th arr 75014 Paris France,59,8.4,1790,589,1488,48.8237487,2.324056
Courthouse Hotel London,19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,355,8,22716,1786,12663,51.5143624,-0.1394483
Best Western The Boltons Hotel London Kensington,19 21 Penywern Road Kensington and Chelsea London SW5 9TT United Kingdom,249,7.7,12824,1573,8864,51.4907493,-0.1934627
Radisson Blu Edwardian Sussex,19 25 Granville Place Marble Arch Westminster Borough London W1H 6PA United Kingdom,234,8,10931,1295,7566,51.5144381,-0.1558337
Hotel The Peninsula Paris,19 avenue Kleber 16th arr 75116 Paris France,52,9.5,608,275,1041,48.8710605,2.2933537
Le Narcisse Blanc Spa,19 Boulevard De La Tour Maubourg 7th arr 75007 Paris France,38,9.5,629,222,1504,48.8605125,2.3106533
The Pillar Hotel,19 Brent Street Brent Cross London NW4 2EU United Kingdom,54,8.6,2286,215,1469,51.583236,-0.216868
Crowne Plaza London The City,19 New Bridge Street City of London London EC4V 6DB United Kingdom,126,8.6,2976,488,3543,51.5122429,-0.1045036
H tel Les Dames du Panth on,19 place du Panth on 5th arr 75005 Paris France,33,8.8,1063,234,1607,48.845743,2.34493
H tel Victor Hugo Paris Kl ber,19 Rue Copernic 16th arr 75016 Paris France,33,7.9,786,236,749,48.8690198,2.2891278
Grand Hotel Saint Michel,19 Rue Cujas 5th arr 75005 Paris France,80,8.8,1802,625,4084,48.8478399,2.342254
Hotel Maison Ath n e,19 Rue De Caumartin 9th arr 75009 Paris France,31,8.8,1507,346,1903,48.8713421,2.3280723
Relais Du Louvre,19 Rue Des Pretres Saint Germain L Auxerrois 1st arr 75001 Paris France,50,8.9,866,406,2268,48.8592264,2.340996
Pullman Paris Montparnasse,19 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,151,8.1,5933,1501,3765,48.8382943,2.3210421
Best Western Ducs de Bourgogne,19 Rue Du Pont Neuf 1st arr 75001 Paris France,48,7.7,3714,684,2488,48.8603483,2.3440535
Best Western Premier Op ra Opal,19 Rue Tronchet 8th arr 75008 Paris France,69,8.6,1771,772,2129,48.8722588,2.3257608
Amarante Champs Elys es,19 Rue Vernet 8th arr 75008 Paris France,66,7.7,1974,464,1156,48.8717649,2.2983855
The Gore Hotel Starhotels Collezione,190 Queen s Gate Kensington and Chelsea London SW7 5EX United Kingdom,227,8.6,9879,968,10375,51.5001979,-0.1795357
The Hoxton Holborn,199 206 High Holborn Camden London WC1V 7BD United Kingdom,421,9.2,9376,1740,15700,51.5172398,-0.1220324
Mercure London Kensington Hotel,1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,222,7.5,12038,1016,7279,51.4950098,-0.1906195
Royal Garden Hotel,2 24 Kensington High St Kensington and Chelsea London W8 4PT United Kingdom,617,8.8,13549,2213,14089,51.5027022,-0.1882164
Boundary Rooms Suites,2 4 Boundary Street Hackney London E2 7DD United Kingdom,12,8.4,120,45,241,51.5244224,-0.0764614
H tel Ad le Jules,2 4bis Cit Rougemont 9th arr 75009 Paris France,62,9.1,1369,376,2126,48.8721062,2.3451384
Grange White Hall Hotel,2 5 Montague Street Bloomsbury Camden London WC1B 5BU United Kingdom,100,7.9,5430,468,3703,51.5203469,-0.1260893
Hilton London Bankside,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,9.3,13618,2319,16644,51.5056956,-0.101525
DoubleTree by Hilton London Ealing,2 8 Hanger Lane Ealing Common London W5 3HN United Kingdom,434,8.4,12026,1494,11293,51.511521,-0.290706
Molitor Paris MGallery by Sofitel,2 avenue la Porte Molitor 16th arr 75016 Paris France,29,8.8,1100,659,1014,48.8448902,2.252833
First Hotel Paris Tour Eiffel,2 Bd Garibaldi 15th arr 75015 Paris France,54,8.3,1533,275,1439,48.8475112,2.3022198
DoubleTree by Hilton London Victoria,2 Bridge Place Victoria Westminster Borough London SW1V 1QA United Kingdom,660,8.4,18097,2902,16690,51.49398,-0.143372
St Ermin s Hotel Autograph Collection,2 Caxton Street Westminster Borough London SW1H 0QW United Kingdom,231,8.9,6520,857,6698,51.498905,-0.1339093
Montagu Place Hotel,2 Montagu Place Westminster Borough London W1H 2ER United Kingdom,65,9.1,1403,287,2205,51.5191009,-0.1592
H tel Regina,2 place des Pyramides 1st arr 75001 Paris France,191,9,5130,1329,8630,48.8637503,2.3320406
Mercure Paris Gare De Lyon TGV,2 place Louis Armand 12th arr 75012 Paris France,224,7.9,7220,2903,6415,48.8442949,2.3730938
Villa Montparnasse,2 Rue Boulard 14th arr 75014 Paris France,38,7.6,879,300,891,48.8349272,2.3295913
H tel des Champs Elys es,2 Rue d Artois 8th arr 75008 Paris France,118,8.4,1797,755,2967,48.8722884,2.3090359
Lyric H tel Paris,2 rue de Gramont 2nd arr 75002 Paris France,48,8.9,1039,480,2036,48.8690126,2.3368708
Hotel Design Secret de Paris,2 Rue De Parme 9th arr 75009 Paris France,54,9.2,1043,618,2571,48.8814056,2.3282568
Hotel Dupond Smith,2 rue des Guillemites 4th arr 75004 Paris France,13,9.3,155,60,508,48.857898,2.3571978
Okko Hotels Paris Porte De Versailles,2 Rue du Colonel Pierre Avia 15th arr 75015 Paris France,13,9.2,782,257,1429,48.8327729,2.2787597
La Villa Royale,2 Rue Duperr 9th arr 75009 Paris France,35,8.1,1722,404,2120,48.8821595,2.3367444
Hotel Indigo Paris Opera,2 Rue Edouard VII 9th arr 75009 Paris France,82,9.1,1564,616,2220,48.8704371,2.329236
Villa Opera Drouot,2 rue Geoffroy Marie 9th arr 75009 Paris France,38,8.4,1640,528,2172,48.8732231,2.3436097
Novotel Paris Gare De Lyon,2 Rue Hector Malot 12th arr 75012 Paris France,353,8.5,9719,3583,10050,48.8453785,2.3753036
H tel Belloy Saint Germain By Happyculture,2 Rue Racine 6th arr 75006 Paris France,31,8.3,1399,303,1926,48.8503901,2.3422527
Hotel Louis 2,2 Rue Saint Sulpice 6th arr 75006 Paris France,34,8.4,648,265,1031,48.8516148,2.3381293
InterContinental Paris Le Grand,2 Rue Scribe 9th arr 75009 Paris France,135,8.8,2061,833,2177,48.8708391,2.3303651
The Trafalgar Hilton,2 Spring Gardens Trafalgar Square Westminster Borough London SW1A 2TS United Kingdom,169,8.1,7927,784,4863,51.507374,-0.129135
Park Lane Mews Hotel,2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom,444,7,26886,2061,13094,51.5059334,-0.1489418
Old Ship Inn Hackney,2 Sylvester Path Hackney London E8 1EN United Kingdom,81,7.9,3408,272,3401,51.5458476,-0.0554113
The Drayton Court Hotel,2 The Avenue Ealing London W13 8PH United Kingdom,187,8.8,6977,750,8516,51.5141842,-0.3192925
The Montcalm Marble Arch,2 Wallenberg Place Westminster Borough London W1H 7TN United Kingdom,687,8.9,13222,2752,19550,51.5150522,-0.159239
The Colonnade,2 Warrington Crescent Westminster Borough London W9 1ER United Kingdom,80,7.8,4383,391,3793,51.5243286,-0.1846623
The Royal Horseguards,2 Whitehall Court Westminster Borough London SW1A 2EJ United Kingdom,475,8.9,16336,2007,17723,51.5054185,-0.1241499
Grange Fitzrovia Hotel,20 28 Bolsover Street Westminster Borough London W1W 5NB United Kingdom,261,8.1,9402,1034,6353,51.521759,-0.1425381
H tel Le M,20 bis rue de la Ga t 14th arr 75014 Paris France,76,8.2,2060,1140,2532,48.8397623,2.3235324
The Hari London,20 Chesham Place Kensington and Chelsea London SW1X 8HQ United Kingdom,197,9.2,2488,635,4798,51.4973203,-0.1562558
citizenM London Bankside,20 Lavington Street Southwark London SE1 0NZ United Kingdom,804,9.1,21204,3802,31639,51.5051507,-0.1004724
Radisson Blu Edwardian Mercer Street,20 Mercer Street Covent Garden Camden London WC2H 9HD United Kingdom,386,8.7,13193,1478,12160,51.5139275,-0.1271506
Twenty Nevern Square Hotel,20 Nevern Square Kensington and Chelsea London SW5 9PD United Kingdom,305,8.3,17678,1719,16374,51.4915712,-0.1963192
The Abbey Court Notting Hill,20 Pembridge Gardens Kensington and Chelsea London W2 4DU United Kingdom,43,7.8,1697,322,1728,51.5101401,-0.1968951
Seven Hotel,20 rue Berthollet 5th arr 75005 Paris France,31,8.5,600,467,960,48.8389823,2.3455528
Platine Hotel Spa,20 rue de l Ing nieur Robert Keller 15th arr 75015 Paris France,49,8.6,1441,729,2479,48.8473459,2.2832408
Mercure Paris Gare Montparnasse,20 Rue De La Ga t 14th arr 75014 Paris France,22,7.8,537,377,628,NA,NA
Mercure Paris Notre Dame Saint Germain des Pr s,20 rue du Sommerard 5th arr 75005 Paris France,28,8,1412,268,1352,48.8503074,2.3450612
Mercure Paris Centre Tour Eiffel,20 Rue Jean Rey 15th arr 75015 Paris France,333,8,15384,2611,10696,48.8548641,2.2923181
Banke H tel,20 Rue La Fayette 9th arr 75009 Paris France,90,8.4,2518,688,2352,48.8735736,2.335965
Mondrian London,20 Upper Ground Southwark London SE1 9PD United Kingdom,1100,9.1,28381,3611,31488,51.5084036,-0.1067988
Karma Sanctum Soho Hotel,20 Warwick Street Westminster Borough London W1B 5NF United Kingdom,109,8.1,4172,423,2521,51.5116049,-0.1383145
NH London Kensington,202 220 Cromwell Road Kensington and Chelsea London SW5 0SW United Kingdom,119,8.2,4163,879,3740,51.4948507,-0.1945544
Saint James Albany Paris Hotel Spa,202 rue de Rivoli 1st arr 75001 Paris France,297,8,16922,2868,11255,48.8642689,2.3308179
Mercure Paris Montparnasse Raspail,207 Boulevard Raspail 14th arr 75014 Paris France,37,8.2,1499,369,1522,48.8412131,2.3302954
Golden Tulip Bercy Gare de Lyon 209,209 211 rue de Charenton 12th arr 75012 Paris France,54,8.7,2096,1099,3608,48.8393229,2.3892274
Montfleuri,21 Avenue De La Grande Arm e 16th arr 75016 Paris France,168,8.2,3222,1106,3482,48.8747153,2.2906388
Simply Rooms Suites,21 Avonmore Road Kensington Hammersmith and Fulham London W14 8RP United Kingdom,53,7.7,2073,226,1467,51.4944875,-0.2070605
Mercure Paris Pigalle Sacre Coeur,21 Boulevard De Clichy 9th arr 75009 Paris France,44,8.3,1647,441,1229,48.8823398,2.3364764
The Academy,21 Gower Street Camden London WC1E 6HG United Kingdom,122,7.8,6606,612,4504,51.5205441,-0.1308091
Le Meridien Piccadilly,21 Piccadilly Westminster Borough London W1J 0BH United Kingdom,146,7.6,6450,817,2511,51.5094835,-0.1362538
Mercure Paris Terminus Nord,21 rue de Dunkerque 10th arr 75010 Paris France,740,7.4,26735,5575,22105,48.8794843,2.3556545
H tel F licien by Elegancia,21 rue F licien David 16th arr 75016 Paris France,34,8.4,1508,448,1434,48.8493082,2.2743626
Le Lavoisier,21 rue Lavoisier 8th arr 75008 Paris France,4,8,217,66,107,48.8737702,2.3201063
H tel Moli re,21 rue Moli re 1st arr 75001 Paris France,87,9.2,726,579,2885,48.8655293,2.3360102
Vice Versa,213 rue de la Croix Nivert 15th arr 75015 Paris France,40,8.3,840,637,859,48.8363819,2.2897793
The Kings Head Hotel,214 High Street Acton London London W3 9NX United Kingdom,39,8.9,1449,200,2164,51.5079153,-0.2730145
H tel Etoile Saint Honor by Happyculture,214 rue du Faubourg Saint Honor 8th arr 75008 Paris France,105,8.2,2609,762,3818,48.8756508,2.3041568
Hotel Le petit Paris,214 rue Saint Jacques 5th arr 75005 Paris France,40,8.8,737,221,1109,48.8452789,2.342295
Mercure Paris 19 Philharmonie La Villette,216 Avenue Jean Jaures 19th arr 75019 Paris France,34,7.5,1627,607,1116,48.8886969,2.3945403
Royal Garden Champs Elysees,218 220 rue du Faubourg St Honor 8th arr 75008 Paris France,115,7.3,4647,1125,2749,48.8757155,2.3038781
H tel Brighton Esprit de France,218 rue de Rivoli 1st arr 75001 Paris France,126,8.7,4586,973,6476,48.8649306,2.3290844
H tel Paris Bastille Boutet MGallery by Sofitel,22 24 Rue Faidherbe 11th arr 75011 Paris France,36,8.8,1026,381,1238,48.8519215,2.3839993
Montcalm Royal London House City of London,22 25 Finsbury Square City Islington London EC2A 1DX United Kingdom,461,9.2,12747,1592,16773,51.5218066,-0.0856081
Conrad London St James,22 28 Broadway Westminster Borough London SW1H 0BH United Kingdom,242,9.1,5248,944,5958,51.4993927,-0.1329128
L Edmond H tel,22 avenue de Villiers 17th arr 75017 Paris France,24,8.2,307,174,434,48.8823111,2.3132374
Novotel Suites Paris Montreuil Vincennes,22 Avenue du professeur lemierre 20th arr 75020 Paris France,110,7.6,4907,1176,2549,48.8554268,2.4152555
London Marriott Hotel West India Quay,22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,930,8.9,24262,2836,25936,51.5072713,-0.0211213
London Hilton on Park Lane,22 Park Lane Westminster Borough London W1K 1BE United Kingdom,296,7.8,6989,943,3625,51.5055513,-0.1501698
Radisson Blu Portman Hotel London,22 Portman Square Westminster Borough London W1H 7BG United Kingdom,597,7.9,17991,2308,10047,51.5161911,-0.1579487
H tel France d Antin Op ra,22 rue d Antin 2nd arr 75002 Paris France,8,8.5,570,173,805,48.8692566,2.3339369
Hotel Stendhal Place Vend me Paris MGallery by Sofitel,22 Rue Danielle Casanova 1st arr 75002 Paris France,12,8.8,153,141,599,48.8681455,2.3313064
H tel De Buci by MH,22 rue de Buci 6th arr 75006 Paris France,32,8.9,836,194,1292,48.8538752,2.3366123
Hotel Parc Saint Severin Esprit de France,22 Rue de La Parcheminerie 5th arr 75005 Paris France,78,9.1,1657,600,4001,48.8518584,2.3447798
Hotel Chavanel,22 Rue Tronchet 8th arr 75008 Paris France,12,8.7,190,130,228,48.8721692,2.3262681
The Portobello Hotel,22 Stanley Gardens Kensington and Chelsea London W11 2NG United Kingdom,44,8.9,1200,240,2167,51.512257,-0.2034244
Royal Saint Honore,221 Rue Saint Honore 1st arr 75001 Paris France,80,8.6,1592,667,2381,48.8658792,2.3298903
Landmark London,222 Marylebone Road Westminster Borough London NW1 6JQ United Kingdom,335,9,5922,1062,7956,51.519016,-0.166267
Hilton London Metropole,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,1485,7.5,65762,6977,32156,51.5195688,-0.170521
Best Western Seraphine Kensington Olympia,225 High Street Kensington Kensington and Chelsea London W8 6SA United Kingdom,140,7.4,9204,895,5197,51.4992791,-0.1973593
Portobello House,225 Ladbroke Grove Kensington and Chelsea London W10 6HQ United Kingdom,73,8.4,2159,344,2525,51.5199224,-0.2116636
Le Meurice,228 Rue De Rivoli 1st arr 75001 Paris France,21,9.3,566,166,826,48.8653685,2.328218
Maison Albar Hotel Paris C line,23 25 rue de Pont Neuf 1st arr 75001 Paris France,38,8.9,2344,326,1454,48.8606187,2.344401
Henry VIII,23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,471,7,29837,2937,15179,51.5124655,-0.182274
Goodenough Club,23 Mecklenburgh Square Camden London WC1N 2AD United Kingdom,216,8.5,7820,959,9052,51.525535,-0.1180354
Holiday Inn Paris Montmartre,23 Rue Damr mont 18th arr 75018 Paris France,21,8.3,809,298,1175,NA,NA
Hotel Pulitzer Paris,23 rue du Faubourg Montmartre 9th arr 75009 Paris France,120,8.4,3361,1521,3581,48.8731996,2.3425446
Hotel Vignon,23 Rue Vignon 8th arr 75008 Paris France,65,8.8,2042,617,2210,48.8717146,2.3261812
London Suites,230 A Mile End Road Tower Hamlets London E1 4LJ United Kingdom,44,7.4,2781,259,1854,51.5215508,-0.0469238
H tel Aiglon Esprit de France,232 Boulevard Raspail 14th arr 75014 Paris France,119,8.9,2487,1152,4675,48.8396623,2.3300582
Sansi Diputacio,234 Diputacio Eixample 08007 Barcelona Spain,27,7.8,1420,338,748,41.3882234,2.1644551
Park Plaza Victoria London,239 Vauxhall Bridge Road Westminster Borough London SW1V 1EQ United Kingdom,954,8.6,25710,4426,23110,51.4942539,-0.1414756
Grange Beauchamp Hotel,24 27 Bedford Place Bloomsbury Camden London WC1B 5JH United Kingdom,161,8.6,5770,761,6056,51.5203266,-0.1245891
The Franklin Hotel Starhotels Collezione,24 Egerton Gardens Kensington and Chelsea London SW3 2DB United Kingdom,20,8.8,502,70,675,51.4960283,-0.1686355
Club Quarters Hotel St Paul s,24 Ludgate Hill City of London London EC4M 7DR United Kingdom,918,8.4,25719,4117,28465,51.5139298,-0.101126
Hotel Elys es Bassano,24 rue Bassano 16th arr 75016 Paris France,88,7.9,1938,652,1546,48.8689307,2.2974503
Hotel Opera Cadet,24 rue Cadet 9th arr 75009 Paris France,33,8.5,655,349,1242,48.8754371,2.3434586
Phileas Hotel,24 Rue d Amsterdam 9th arr 75009 Paris France,91,8.7,3549,1000,3562,48.8768854,2.3270623
Holiday Inn Paris Elys es,24 Rue De Miromesnil 8th arr 75008 Paris France,44,8,1150,421,860,48.8730437,2.3161144
H tel Beauchamps,24 rue de Ponthieu 8th arr 75008 Paris France,203,8.1,5152,1463,4422,48.87096,2.3091617
Best Western Nouvel Orl ans Montparnasse,25 avenue du General Leclerc 14th arr 75014 Paris France,80,8.1,3677,988,4052,48.8309896,2.3297301
Hotel Plaza Athenee Paris,25 Avenue Montaigne 8th arr 75008 Paris France,34,9.3,388,160,365,48.8661932,2.3042141
Mercure Paris Place d Italie,25 Boulevard Auguste Blanqui 13th arr 75013 Paris France,13,7.9,441,192,289,48.830196,2.3529539
The Nadler Kensington,25 Courtfield Gardens Kensington and Chelsea London SW5 0PG United Kingdom,222,9,6790,1209,11013,51.4931086,-0.190208
H tel Da Vinci Spa,25 rue des Saints P res 6th arr 75006 Paris France,52,9.1,1906,352,3896,48.8565778,2.3319767
XO Hotel,25 Rue Theodore de Banville 17th arr 75017 Paris France,1,8.9,185,49,278,48.8827492,2.2982782
H tel Vernet,25 Rue Vernet 8th arr 75008 Paris France,75,8.6,1702,473,1469,48.871859,2.2978177
Mandarin Oriental Paris,251 rue Saint Honor 1st arr 75001 Paris France,10,9.1,347,81,282,48.8671889,2.326927
Rosewood London,252 High Holborn Holborn Camden London WC1V 7EN United Kingdom,256,9.4,4667,1008,8173,51.5173303,-0.1180966
Novotel Paris Vaugirard Montparnasse,257 Rue De Vaugirard 15th arr 75015 Paris France,143,7.6,5208,1313,3794,48.8399018,2.3031011
Mayflower Hotel Apartments,26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,7.5,22890,2197,14209,51.4916677,-0.1947475
